Reading,Word,Category
あすてりずむ,星彩
あすてりずむ,星彩の竜輝巧,短縮よみ
あるぜーた,アルζ
あるぜーた,竜輝巧－アルζ,短縮よみ
えくりぷす,喰光
えくりぷす,喰光の竜輝巧,短縮よみ
えるがんま,エルγ
えるがんま,竜輝巧－エルγ,短縮よみ
どらいとろん,ドライトロン
どらいとろん,竜輝巧
どらいとろん,竜儀巧
どらいとろんあすてりずむ,星彩の竜輝巧
どらいとろんあるぜーた,竜輝巧－アルζ
どらいとろんえくりぷす,喰光の竜輝巧
どらいとろんえるがんま,竜輝巧－エルγ
どらいとろんにゅーつー,竜輝巧－νⅡ
どらいとろんのゔぁ,極超の竜輝巧
どらいとろんばんあるふぁ,竜輝巧－バンα
どらいとろんふぁふにーる,竜輝巧－ファフニール
どらいとろんふぁふみゅーべーた,竜輝巧－ファフμβ’
どらいとろんめておにすきゅーゆーえー,竜儀巧－メテオニス＝QUA
どらいとろんめておにすでぃーあーるえー,竜儀巧－メテオニス＝DRA
どらいとろんめておにすでぃーえーでぃー,竜儀巧－メテオニス＝DAD
どらいとろんらすべーた,竜輝巧－ラスβ
どらいとろんりゅうせいぐん,ドライトロン流星群
どらいとろんるたでるた,竜輝巧－ルタδ
にゅーつー,νⅡ
にゅーつー,竜輝巧－νⅡ,短縮よみ
のゔぁ,極超
のゔぁ,極超の竜輝巧,短縮よみ
ばんあるふぁ,バンα
ばんあるふぁ,竜輝巧－バンα,短縮よみ
ふぁふにーる,ファフニール
ふぁふにーる,竜輝巧－ファフニール,短縮よみ
ふぁふみゅーべーた,ファフμβ’
ふぁふみゅーべーた,竜輝巧－ファフμβ’,短縮よみ
べあるくてぃどらいとろん,天斗輝巧極
めておにすきゅーゆーえー,メテオニス＝QUA
めておにすきゅーゆーえー,竜儀巧－メテオニス＝QUA,短縮よみ
めておにすでぃーあーるえー,メテオニス＝DRA
めておにすでぃーあーるえー,竜儀巧－メテオニス＝DRA,短縮よみ
めておにすでぃーえーでぃー,メテオニス＝DAD
めておにすでぃーえーでぃー,竜儀巧－メテオニス＝DAD,短縮よみ
めておにすどらいとろん,流星輝巧群
めておろーらどらいとろん,流星極輝巧群
らすべーた,ラスβ
らすべーた,竜輝巧－ラスβ,短縮よみ
りゅうせいぐん,流星群
りゅうせいぐん,ドライトロン流星群,短縮よみ
るたでるた,ルタδ
るたでるた,竜輝巧－ルタδ,短縮よみ
